model,NAA_mod,sel_mod,sel_re,conv,runtime_min,nll,AIC,dAIC
m1,all,logistic,none,0,0.22,-1228.647,-2329.3,62.5
m2,all,logistic,iid,0,0.64,-1240.796,-2351.6,40.2
m3,all,logistic,ar1,0,0.7,-1251.54,-2371.1,20.7
m4,all,logistic,ar1_y,0,0.62,-1258.026,-2384.1,7.7
m5,all,logistic,2dar1,0,0.63,-1262.903,-2391.8,0
m6,all,age-specific,none,0,0.28,-1231.302,-2328.6,63.2
m7,all,age-specific,iid,1,1.09,-1285.262,-2434.5,NA
m8,all,age-specific,ar1,1,0.98,-1289.178,-2440.4,NA
m9,all,age-specific,ar1_y,1,3.33,NA,NA,NA
m10,all,age-specific,2dar1,1,3.05,-1305.94,-2471.9,NA
