"","dAIC","AIC","rho_R","rho_SSB","rho_Fbar"
"m1",7146.5,4925.1,0.3788,0.4408,-0.3765
"m2",308.6,-1912.8,0.2987,0.3475,-0.3425
"m3",6670.4,4449,0.0612,0.2493,-0.2471
"m4",0,-2221.4,0.0999,0.2639,-0.2825
