,,,,,,BFG,CAL,Source
NAFO 2J3KL,log(weight) = 3.0879*log(length) - 5.2106 ,,,,Fplat,yes,,Petur pers comm.
,,,,,GB,,yes,SAW 55 
,,,,,greenland,,,
,,,,,GoM,yes,,SAW 55
,,,,,iceland,yes,,Elvarsson pers comm
,,,,,2j3kl,yes,,Brattey 2016
,,,,,3m,,,figure no solution given
,,,,,3m2015,,,
,,,,,3no,,,
,,,,,3ps,,,
,,,,,ne arctic,yes,, Lofoten_17/18
,,,,,NS,yes,,Froese et al. 2008
,,,,,norway,,,
,,,,,s celtic,,,
,,,,,wbaltic,yes,,Froese et al. 2008
,,,,,,NA Arctic?,,
,,,,,,2J,,
,,,,,,3k,,
,,,,,,3l,,
