year,	fleet,	age,	logObs,	pred,	predSd
2014,	2,	1,	2.77701640556693,	4.11508308266884,	0.904611356987382
2014,	2,	2,	5.75856733310015,	5.48219158749985,	0.871302089451711
2014,	2,	3,	6.81024277584309,	5.82222708272541,	0.855656532034063
2014,	2,	4,	7.15294990832375,	6.16167732198466,	0.852426279807794
2014,	2,	5,	5.83815309836112,	5.52841912256237,	0.856768327084105
2014,	2,	6,	6.53816876690887,	5.73596924299521,	0.858194301465537
2014,	2,	7,	6.36088615603547,	6.17348678378917,	0.840084875559113
2014,	3,	1,	4.2473660333045,	4.13246814740802,	1.27758308667235
2014,	3,	2,	3.83925874547331,	4.54066125874882,	1.25011231431241
2014,	3,	3,	3.46570465231144,	4.52559510329241,	1.23830251587698
2014,	3,	4,	4.19874962157689,	5.33747375865883,	1.23679949382748
2014,	3,	5,	2.65464942437509,	4.79162951570054,	1.23877017729215
2014,	3,	6,	3.89161619565048,	5.00103833052097,	1.23402008366878
2014,	3,	7,	4.27053625864052,	5.43855587131493,	1.22109648001547
2014,	4,	2,	4.05781888087265,	5.17154951763595,	0.931299623629015
2014,	4,	3,	5.85180584940291,	5.91772137618264,	0.9175610707387
2014,	4,	4,	6.19261194711028,	6.44979323784242,	0.914113959027406
2014,	4,	5,	6.12866015578576,	6.02841386555329,	0.918114567444238
2014,	4,	6,	5.9637644164657,	6.22600686336414,	0.918902230068909
2014,	4,	7,	6.36497276318775,	6.6635244041581,	0.901777130354556
2015,	2,	2,	3.51279838490944,	5.57935864658149,	0.911871288850129
2015,	2,	3,	4.4255769040653,	5.899644572953,	0.883927927774919
2015,	2,	4,	4.93697440147476,	5.99089959725808,	0.872764467756484
2015,	2,	5,	5.0368227238499,	5.86817133306408,	0.868266537697627
2015,	2,	6,	2.94790664407139,	5.09652827416194,	0.871216742582662
2015,	2,	7,	5.19180062716555,	6.24823286835913,	0.846661546209423
2015,	3,	3,	4.37106679443754,	4.60301259352,	1.25798111065912
2015,	3,	4,	4.85816764162801,	5.16669603393225,	1.25107829480977
2015,	3,	5,	5.23511661686175,	5.13138172620225,	1.24676205503119
2015,	3,	6,	2.21931217380022,	4.3615973616877,	1.24322350425234
2015,	3,	7,	4.10828033996058,	5.51330195588489,	1.22569528061727
2015,	4,	2,	2.72595560497104,	5.26871657671759,	0.969467629067562
2015,	4,	3,	3.94887553202454,	5.99513886641023,	0.944043375605909
2015,	4,	4,	5.35621356371448,	6.27901551311583,	0.933108553049014
2015,	4,	5,	5.3734665821339,	6.368166076055,	0.928878518065526
2015,	4,	6,	4.37996200479166,	5.58656589453087,	0.930306811248516
2015,	4,	7,	5.19476077838974,	6.73827048872806,	0.907971350943933
2016,	2,	1,	3.85471163871503,	4.21297256861233,	1.00516190011083
2016,	2,	2,	2.58036833326658,	5.68326504764755,	0.956110275158008
2016,	2,	3,	4.71222027351517,	6.00601702323192,	0.924337483469923
2016,	2,	4,	5.03242940113193,	6.09404638884283,	0.905533146259258
2016,	2,	5,	5.42701396537,	5.74190848545828,	0.89351173126696
2016,	2,	6,	5.48775107194777,	5.47408409787503,	0.883609007641027
2016,	2,	7,	5.74629583800543,	6.12667152218519,	0.855057709449916
2016,	3,	1,	3.86192899161608,	4.23035763335151,	1.35057712253921
2016,	3,	2,	1.41025499856473,	4.74173471889651,	1.31065316206002
2016,	3,	3,	4.01391150059259,	4.70938504379891,	1.28663882274772
2016,	3,	4,	3.49480915028543,	5.269842825517,	1.27421691003611
2016,	3,	5,	3.03836063560961,	5.00511887859645,	1.264457366171
2016,	3,	6,	2.89574617867806,	4.73915318540079,	1.25200967078311
2016,	3,	7,	2.25779691020391,	5.39174060971095,	1.23155211976417
2016,	4,	1,	0.973426923244964,	4.06125828706085,	1.05990970759978
2016,	4,	2,	3.18507082025584,	5.37262297778365,	1.01115853010653
2016,	4,	3,	6.18779378661904,	6.10151131668915,	0.981930135542778
2016,	4,	4,	7.19649179531252,	6.38216230470058,	0.963827801383913
2016,	4,	5,	6.80458126008601,	6.2419032284492,	0.952328418617311
2016,	4,	6,	6.30207120669921,	5.96412171824396,	0.941962856885791
2016,	4,	7,	7.32961197464129,	6.61670914255412,	0.915629373650273
