"log.L.","X.par","AIC","M"
-856.923896547587,23,1759.84779309517,0.2
-869.039571762452,23,1784.0791435249,0.04
-866.048073134717,23,1778.09614626943,0.08
-863.038287557043,23,1772.07657511409,0.12
-860.002108628397,23,1766.00421725679,0.16
-853.773412478785,23,1753.54682495757,0.24
-850.493050521325,23,1746.98610104265,0.28
-846.973506597337,23,1739.94701319467,0.32
-842.952841926005,23,1731.90568385201,0.36
-838.660836931473,23,1723.32167386295,0.4
