Year,Landings
1959,60.170
1960,77.285
1961,86.824
1962,55.239
1963,51.821
1964,56.567
1965,51.853
1966,66.207
1967,62.774
1968,77.556
1969,63.799
1970,76.858
1971,62.448
1972,44.213
1973,52.641
1974,46.712
1975,35.373
1976,37.133
1977,32.245
1978,27.221
1979,33.006
1980,37.568
1981,38.892
1982,33.902
1983,38.451
1984,36.950
1985,51.367
1986,57.990
1987,59.204
1988,43.382
1989,39.540
1990,41.405
1991,43.589
1992,35.895
1993,15.216
1994,0.661
1995,0.821
1996,1.057
1997,9.420
1998,20.156
1999,27.997
2000,25.100
2001,16.546
2002,15.319
2003,15.260
2004,14.414
2005,14.776
2006,13.157
2007,12.959
2008,11.773
2009,9.762
2010,8.299
2011,6.876
2012,5.087
2013,4.366
2014,6.887
2015,6.460
2016,7.246
2017,6.641
2018,4.737
2019,3.528
2020,2.228
2021,1.346
