Year,Fbar
1959,0.23
1960,0.24
1961,0.26
1962,0.25
1963,0.25
1964,0.28
1965,0.29
1966,0.30
1967,0.28
1968,0.30
1969,0.33
1970,0.33
1971,0.36
1972,0.37
1973,0.35
1974,0.36
1975,0.41
1976,0.29
1977,0.27
1978,0.28
1979,0.25
1980,0.28
1981,0.29
1982,0.27
1983,0.26
1984,0.26
1985,0.29
1986,0.31
1987,0.36
1988,0.39
1989,0.37
1990,0.37
1991,0.43
1992,0.46
1993,0.39
1994,0.01
1995,0.01
1996,0.01
1997,0.09
1998,0.21
1999,0.30
2000,0.30
2001,0.25
2002,0.22
2003,0.21
2004,0.23
2005,0.27
2006,0.21
2007,0.19
2008,0.22
2009,0.22
2010,0.20
2011,0.18
2012,0.15
2013,0.12
2014,0.14
2015,0.15
2016,0.14
2017,0.15
2018,0.11
2019,0.09
2020,0.05
2021,0.03
