Year,SSB
1959,233.7
1960,222.5
1961,222.6
1962,212.0
1963,194.0
1964,176.9
1965,170.2
1966,160.9
1967,149.2
1968,159.9
1969,146.1
1970,131.9
1971,124.6
1972,111.6
1973,90.7
1974,83.9
1975,92.0
1976,84.7
1977,80.0
1978,70.8
1979,79.7
1980,98.8
1981,112.2
1982,124.9
1983,111.7
1984,121.6
1985,129.7
1986,124.1
1987,114.6
1988,101.7
1989,92.0
1990,73.0
1991,63.8
1992,51.0
1993,37.7
1994,42.3
1995,75.1
1996,70.6
1997,75.9
1998,86.4
1999,79.8
2000,65.1
2001,50.9
2002,50.1
2003,52.1
2004,53.4
2005,52.0
2006,50.9
2007,45.1
2008,36.7
2009,31.6
2010,27.4
2011,27.0
2012,27.1
2013,25.3
2014,27.8
2015,27.1
2016,28.3
2017,30.6
2018,31.6
2019,30.1
2020,32.6
2021,31.7
