Year,1,2,3,4,5,6,7,8+
1988,0.053,0.097,0.172,0.286,0.438,0.599,0.742,0.878
1989,0.053,0.097,0.172,0.286,0.438,0.599,0.742,0.878
1990,0.053,0.097,0.172,0.286,0.438,0.599,0.742,0.878
1991,0.017,0.042,0.107,0.241,0.459,0.685,0.851,0.957
1992,0.002,0.011,0.046,0.181,0.499,0.818,0.953,0.993
1993,0.001,0.006,0.047,0.280,0.750,0.959,0.995,1.000
1994,0.000,0.001,0.049,0.655,0.986,1.000,1.000,1.000
1995,0.000,0.000,0.005,0.801,1.000,1.000,1.000,1.000
1996,0.000,0.000,0.028,0.666,0.993,1.000,1.000,1.000
1997,0.000,0.007,0.109,0.670,0.972,0.998,1.000,1.000
1998,0.000,0.001,0.087,0.872,0.998,1.000,1.000,1.000
1999,0.000,0.001,0.119,0.898,0.999,1.000,1.000,1.000
2000,0.000,0.001,0.142,0.966,1.000,1.000,1.000,1.000
2001,0.000,0.000,0.271,0.997,1.000,1.000,1.000,1.000
2002,0.000,0.010,0.633,0.997,1.000,1.000,1.000,1.000
2003,0.000,0.022,0.515,0.979,1.000,1.000,1.000,1.000
2004,0.000,0.000,0.092,0.966,1.000,1.000,1.000,1.000
2005,0.038,0.165,0.500,0.830,0.959,0.991,0.998,1.000
2006,0.000,0.013,0.354,0.959,0.999,1.000,1.000,1.000
2007,0.000,0.012,0.264,0.919,0.997,1.000,1.000,1.000
2008,0.000,0.012,0.232,0.883,0.995,1.000,1.000,1.000
2009,0.000,0.010,0.181,0.829,0.991,1.000,1.000,1.000
2010,0.000,0.009,0.164,0.810,0.989,1.000,1.000,1.000
2011,0.001,0.008,0.071,0.424,0.877,0.986,0.999,1.000
2012,0.000,0.000,0.016,0.572,0.991,1.000,1.000,1.000
2013,0.003,0.035,0.283,0.802,0.977,0.998,1.000,1.000
2014,0.000,0.003,0.044,0.397,0.901,0.992,0.999,1.000
2015,0.000,0.000,0.004,0.113,0.790,0.991,1.000,1.000
2016,0.000,0.000,0.004,0.046,0.388,0.892,0.991,1.000
2017,0.000,0.000,0.004,0.046,0.388,0.892,0.991,1.000
