Year,Landings
1960,12353
1961,20341
1962,15907
1963,33413
1964,38797
1965,54055
1966,28956
1967,37069
1968,34150
1969,22143
1970,17995
1971,24549
1972,56812
1973,22900
1974,24938
1975,22375
1976,22266
1977,27019
1978,33131
1979,29710
1980,10457
1981,13873
1982,12753
1983,10205
1984,12702
1985,13675
1986,14518
1987,10632
1988,1718
1989,917
1990,2762
1991,8989
1992,7226
1993,8316
1994,6885
1995,3221
1996,2305
1997,1457
1998,456
1999,2
2000,36
2001,56
2002,33
2003,16
2004,23
2005,26
2006,123
2007,125
2008,401
2009,1172
2010,5245
2011,9977
2012,9068
2013,13521
2014,14356
2015,12828
2016,12107
2017,13920
