Year,1,2,3,4,5,6,7,8+
1988,1.35,0.62,0.37,0.26,0.27,0.35,0.31,0.38
1989,1.35,0.62,0.37,0.26,0.27,0.35,0.31,0.38
1990,1.35,0.62,0.37,0.26,0.27,0.35,0.31,0.38
1991,1.35,0.62,0.37,0.26,0.27,0.35,0.31,0.38
1992,1.35,0.62,0.37,0.26,0.27,0.35,0.31,0.38
1993,1.35,0.62,0.37,0.26,0.27,0.35,0.31,0.38
1994,1.35,0.62,0.37,0.26,0.27,0.35,0.31,0.38
1995,1.35,0.62,0.37,0.26,0.27,0.35,0.31,0.38
1996,1.35,0.62,0.37,0.26,0.27,0.35,0.31,0.38
1997,1.35,0.62,0.37,0.26,0.27,0.35,0.31,0.38
1998,1.35,0.62,0.37,0.26,0.27,0.35,0.31,0.38
1999,1.35,0.62,0.37,0.26,0.27,0.35,0.31,0.38
2000,1.35,0.62,0.37,0.26,0.27,0.35,0.31,0.38
2001,1.35,0.62,0.37,0.26,0.27,0.35,0.31,0.38
2002,1.35,0.62,0.37,0.26,0.27,0.35,0.31,0.38
2003,1.35,0.62,0.37,0.26,0.27,0.35,0.31,0.38
2004,1.35,0.62,0.37,0.26,0.27,0.35,0.31,0.38
2005,1.35,0.62,0.37,0.26,0.27,0.35,0.31,0.38
2006,1.35,0.62,0.37,0.26,0.27,0.35,0.31,0.38
2007,1.35,0.62,0.37,0.26,0.27,0.35,0.31,0.38
2008,1.35,0.62,0.37,0.26,0.27,0.35,0.31,0.38
2009,1.35,0.62,0.37,0.26,0.27,0.35,0.31,0.38
2010,1.35,0.62,0.37,0.26,0.27,0.35,0.31,0.38
2011,1.35,0.62,0.37,0.26,0.27,0.35,0.31,0.38
2012,1.35,0.62,0.37,0.26,0.27,0.35,0.31,0.38
2013,1.35,0.62,0.37,0.26,0.27,0.35,0.31,0.38
2014,1.35,0.62,0.37,0.26,0.27,0.35,0.31,0.38
2015,1.35,0.62,0.37,0.26,0.27,0.35,0.31,0.38
2016,1.35,0.62,0.37,0.26,0.27,0.35,0.31,0.38
2017,1.35,0.62,0.37,0.26,0.27,0.35,0.31,0.38
