Year,F3_5
1988,0.519
1989,0.622
1990,0.734
1991,0.433
1992,1.398
1993,0.961
1994,1.365
1995,1.3
1996,0.477
1997,0.92
1998,0.326
1999,0.21
2000,0.065
2001,0.075
2002,0.021
2003,0.006
2004,0.002
2005,0.002
2006,0.054
2007,0.015
2008,0.028
2009,0.021
2010,0.13
2011,0.14
2012,0.095
2013,0.094
2014,0.068
2015,0.076
2016,0.083
2017,0.059
