Year,SSB
1988,62566
1989,123085
1990,109808
1991,378437
1992,305060
1993,20626
1994,37947
1995,15898
1996,985
1997,862
1998,1434
1999,217
2000,3987
2001,9480
2002,919
2003,24862
2004,759
2005,54653
2006,88734
2007,120800
2008,107008
2009,151489
2010,259836
2011,332912
2012,363180
2013,69224
2014,90916
2015,32879
2016,2357
2017,24865
