"index","name","value","stdev","CV"
90,"log_recruit_devs",0.34239,0.07011,0.269492418526138
91,"log_recruit_devs",0.58267,0.065176,0.259512737455434
92,"log_recruit_devs",-0.20321,0.08806,0.303403433205917
93,"log_recruit_devs",-0.42143,0.097122,0.319366261190769
94,"log_recruit_devs",0.43945,0.072807,0.274814375451383
95,"log_recruit_devs",-0.59753,0.1152,0.349425005828743
96,"log_recruit_devs",0.25445,0.091538,0.30961010726597
97,"log_recruit_devs",1.6573,0.068006,0.265276705893849
98,"log_recruit_devs",-0.18891,0.12425,0.363729171699727
99,"log_recruit_devs",-0.2528,0.13785,0.384452034531899
100,"log_recruit_devs",0.97664,0.11633,0.35123570707562
101,"log_recruit_devs",-0.25868,0.21245,0.486522637505736
102,"log_recruit_devs",0.14546,0.38598,0.686334648269736
103,"log_N_year1_devs",0.42062,0.085505,0.298775848531116
104,"log_N_year1_devs",1.2156,0.24822,0.530793636352875
105,"log_N_year1_devs",2.1272,0.25976,0.544627267765369
106,"log_N_year1_devs",4.3971,0.21459,0.489237833557931
107,"log_N_year1_devs",6.8614,0.7169,1.02375501417564
108,"log_N_year1_devs",4.0666,17.277,5644.85609794039
109,"log_N_year1_devs",4.1018,22.346,71182.3376491724
110,"log_q_year1",-12.447,0.0864,0.300403625198803
111,"log_q_year1",-12.1,0.090926,0.308525458189189
112,"index_sel_params[1]",2.1719,0.070572,0.0324932087112666
113,"index_sel_params[2]",0.43243,0.079221,0.183199592997711
114,"index_sel_params[3]",2.6062,0.069843,0.0267987875067148
115,"index_sel_params[4]",0.36001,0.034565,0.0960112219105025
116,"log_SR_scaler",15.354,0.034496,0.187344303292845
117,"Freport",0.16756,0.021832,0.130293626163762
118,"Freport",0.2064,0.02447,0.118556201550388
119,"Freport",0.29417,0.033255,0.113046877655777
120,"Freport",0.41571,0.042884,0.103158451805345
121,"Freport",0.33807,0.035426,0.104788949034224
122,"Freport",0.31048,0.033313,0.107295155887658
123,"Freport",0.41996,0.045685,0.108784169920945
124,"Freport",0.36357,0.03816,0.104959155045796
125,"Freport",0.35935,0.036529,0.101652984555447
126,"Freport",0.42312,0.044181,0.104417186613727
127,"Freport",0.69585,0.06962,0.10005029819645
128,"Freport",0.7742,0.086507,0.111737277189357
129,"Freport",0.91023,0.11642,0.127901739120882
130,"Freport",0.87557,0.092505,0.105651175805475
131,"Freport",0.86368,0.084535,0.0978776861800667
132,"Freport",1.0265,0.11348,0.110550414028251
133,"Freport",1.0791,0.11514,0.106700027800945
134,"Freport",0.67671,0.083014,0.122672932275273
135,"Freport",0.27802,0.037624,0.135328393640745
136,"Freport",0.293,0.038975,0.1330204778157
137,"Freport",0.22764,0.02806,0.123264804076612
138,"Freport",0.18625,0.022336,0.119924832214765
139,"Freport",0.19759,0.023115,0.116984665215851
140,"Freport",0.2162,0.02556,0.118223866790009
141,"Freport",0.20988,0.024615,0.117281303602058
142,"Freport",0.15108,0.017547,0.116143764892772
143,"Freport",0.1452,0.016459,0.113353994490358
144,"Freport",0.15339,0.017319,0.112908273029533
145,"Freport",0.12995,0.015258,0.117414390150058
146,"Freport",0.11522,0.0137,0.118902968234681
147,"Freport",0.17546,0.020399,0.116260116265816
148,"Freport",0.1507,0.017642,0.11706702057067
149,"Freport",0.15365,0.017856,0.11621217051741
150,"Freport",0.14741,0.017312,0.117441150532528
151,"Freport",0.16314,0.019514,0.11961505455437
152,"Freport",0.13405,0.015823,0.118038045505408
153,"Freport",0.17081,0.019999,0.117083308939758
154,"Freport",0.16387,0.020188,0.123195215719778
155,"Freport",0.16547,0.020458,0.123635704357285
156,"Freport",0.16066,0.019795,0.123210506660027
