"Year","Index","Age","logObs","Pred"
2012,1,"2",0.272900678224447,1.51291814297256
2012,1,"3",0.820238814250336,1.6107808079909
2012,1,"4",2.36158909841496,3.65862882610016
2012,1,"5",2.40314312135829,1.75151529041617
2012,1,"6",-0.307728089596867,0.377084391604826
2012,1,"7",-0.567425120652653,0.894674867345358
2012,1,"8",-2.12456907876029,0.76299063588803
2012,2,"2",-0.931799001855958,0.740123867701666
2012,2,"3",1.6969019017793,1.54327128969895
2012,2,"4",3.16551067818143,3.76221050419435
2012,2,"5",0.0332695351619806,1.86451872231343
2012,2,"6",-1.69634689666605,0.489758587662175
2012,2,"7",-2.21987472650381,1.00718479920539
2012,2,"8",-3.42902398326984,0.875470266755698
2013,1,"2",3.00920145647396,2.35448264396599
2013,1,"3",1.34103382248694,1.93678658674205
2013,1,"4",0.00965535467870647,1.36902428593575
2013,1,"5",2.92390589848466,3.26418256365016
2013,1,"6",-1.53178828620489,1.335737477501
2013,1,"7",-1.03804313613595,-0.0413912661383966
2013,1,"8",-2.56663322036327,1.10531147235525
2013,2,"2",2.19242147220575,1.57723461869511
2013,2,"3",1.22129246484512,1.8642577184501
2013,2,"4",2.32316251750831,1.46758196402993
2013,2,"5",3.13425446793299,3.37216194554742
2013,2,"6",-0.702863049121545,1.44338762355835
2013,2,"7",-0.704734501394195,0.0660946157216317
2013,2,"8",-2.99946194654545,1.21276705322292
2014,1,"2",1.17631038897358,1.29927063159755
2014,1,"3",3.55396241521058,2.76821558326846
2014,1,"4",-0.383577788969273,1.68366887416373
2014,1,"5",0.900493214992925,0.963206290386279
2014,1,"6",1.48573013032855,2.83703318048999
2014,1,"7",-0.834163173397793,0.905890145692907
2014,1,"8",-2.00316983215223,0.95096582775166
